title,price,link
"Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/8 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg","29,990",https://amazon.in//Acer-i3-1215U-Premium-Windows-AL15-52/dp/B0CKLN7PSZ/ref=sr_1_4?crid=82JPIJIXTHA6&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-L3DxWBmfh-SruzL7ptfnp-1jU6PB0tegHxVwk8yDbDtiNrszv_wIboQOrC3aX40aA.6fUi69r5sUGc6KCeDl-4-ixidnitZXEyxyeI3ey1CA8&dib_tag=se&keywords=laptop&qid=1727269663&sprefix=laptop%2Caps%2C230&sr=8-4
"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG","20,990",https://amazon.in//Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PTFFZH/ref=sr_1_20?crid=82JPIJIXTHA6&dib=eyJ2IjoiMSJ9.IwjDZBYHoVMjMptuGDgwTnt8aYEScA30n1oprl1i40tXNet-CxlT1rg9lFPsxOw5ETBGHT2hm_X8jiRmC8ycAmGhH9BThH_dMLBKUXYB4XGethvCvdTwOWxwNLi_ZTRX5j4na1Rt1P9uU5jgBaR7U6TLKXW_zJZQbLabkV210yo2JkIAR2f_tRF7MOSYz0YN0W0r5xMy7BODTWCFkPeg_BFgw2CObwSyOWu3HpoEfwQ.jb20aoT_OTksgd-y5cFnQKOdicuTMkyDB8Bp0ReUW7g&dib_tag=se&keywords=laptop&qid=1727269668&sprefix=laptop%2Caps%2C230&sr=8-20
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
"MSI Modern 15, Intel 12th Gen. i3-1215U, 40CM FHD 60Hz Laptop (8GB/512GB NVMe SSD/Windows 11 Home/Intel UHD Graphics/Classic Black/1.7Kg), B12M-613IN","26,990",https://amazon.in//MSI-i3-1215U-Windows-Graphics-B12M-613IN/dp/B0C9JF29FC/ref=sr_1_21?crid=82JPIJIXTHA6&dib=eyJ2IjoiMSJ9.IwjDZBYHoVMjMptuGDgwTnt8aYEScA30n1oprl1i40tXNet-CxlT1rg9lFPsxOw5ETBGHT2hm_X8jiRmC8ycAmGhH9BThH_dMLBKUXYB4XGethvCvdTwOWxwNLi_ZTRX5j4na1Rt1P9uU5jgBaR7U6TLKXW_zJZQbLabkV210yo2JkIAR2f_tRF7MOSYz0YN0W0r5xMy7BODTWCFkPeg_BFgw2CObwSyOWu3HpoEfwQ.jb20aoT_OTksgd-y5cFnQKOdicuTMkyDB8Bp0ReUW7g&dib_tag=se&keywords=laptop&qid=1727269668&sprefix=laptop%2Caps%2C230&sr=8-21
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
"Lenovo [Smart Choice Ideapad Gaming 3 Laptop AMD Ryzen 5 5500H 15.6"" (39.62Cm) Fhd IPS 300Nits 144Hz (8Gb/512Gb Ssd/Win11/Nvidia RTX 2050 4Gb/Alexa/3 Month Game Pass/Shadow Black/2.32Kg),82K20289In","47,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0MjU4NjQ5OTM1OTI2MTA3OjE3MjcyNjk2Njg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDE2ODIyMjI5NDQzMjo6MDo6&url=%2FLenovo-IdeaPad-39-62cm-300nits-82K20289IN%2Fdp%2FB0CL5L59Z9%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%253Aamzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%26crid%3D82JPIJIXTHA6%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.TshA_zvgcR4gtCnW9wJYAl9zJ-backXYcIbUkk7SdqPRRSzdmssqD3dX8AQHb8zJEEvq5spg_T2URvLCl4AYzw.TOIScC8ap-RqgAuiuHtHPSxOTvrYeEAbvSNjtTbYBlw%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0CL5L59Z9%26pd_rd_r%3D3374a7af-ebf3-499c-9940-634660f83e35%26pd_rd_w%3D8r4hg%26pd_rd_wg%3DzKJcv%26pf_rd_p%3D59126330-c308-4c36-a5a0-21cac002681f%26pf_rd_r%3DS327P9EKGWAK869GBSD2%26qid%3D1727269668%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptop%252Caps%252C230%26sr%3D1-17-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
